name,city,type,phone,email,website,address,nickname
SPA Amber Palace,Šventoji,SPA,+370 460 45494,rezervacijos@energetikas.lt,https://amberpalanga.lt/,"Kuršių tak. 1, 00317 Palanga, Lietuva",spa-amber-palace
Auksinės kopos,Šventoji,Viešbutis,+370 620 64621,info@akopos.lt,http://www.akopos.lt/,"Jūros g. 30, 92125 Palanga, Lietuva",auksines-kopos
Lagūna,Šventoji,Viešbutis,+370 676 47693,labas@laguna.lt,http://www.laguna.lt/,"Prieplaukos g. 18, 00305 Palanga, Lietuva",laguna
Resort Hotel Elija,Šventoji,Viešbutis,+370 669 86000,info@hotelelija.lt,http://hotelelija.lt/,"Parko g., 00305 Palanga, Lietuva",resort-hotel-elija
2NIGHT Šventoji,Šventoji,Viešbutis,+370 618 89999,labas@2night.lt,https://www.2night.lt/,"Žemaičių Alkos g. 27, 00316 Palanga, Lietuva",2night-sventoji
Pajūrio sodyba,Šventoji,Viešbutis,+370 614 95535,info@pajuriosodyba.com,http://www.pajuriosodyba.com/,"Mokyklos g. 50, 00303 Palanga, Lietuva",pajurio-sodyba
Amber Vila,Šventoji,Viešbutis,+370 671 00850,info@sventojojenameliai.lt,http://ambervila.lt/,"Mokyklos g. 2, 00009 Palanga, Lietuva",amber-vila
Sancta Elena,Šventoji,Viešbutis,+370 606 45222,hotel@stelena.lt,http://www.sanctaelena.lt/,"Mėguvos g. 19, 00305 Palanga, Lietuva",sancta-elena
Beluga,Šventoji,Viešbutis,+370 682 10820,info@beluga.lt,http://www.beluga.lt/,"Jūros g. 21, 00314 Palanga, Lietuva",beluga
Aštuoni,Šventoji,Viešbutis,+370 620 48888,info@astuoni.lt,http://www.astuoni.lt/,"Birutės al. 48, 00135 Palanga, Lietuva",astuoni
"""Floros simfonija""!!! Miesto centre, netoli jūros (400m)",Šventoji,viešbutis,+37066353333,,https://florossimfonija.lt,,floros-simfonija-miesto-centre-netoli-juros-400m
