name,city,type,phone,email,website,address,nickname
Du malūnai,Šventoji,Restoranas,+370 655 28180,,,"Šventosios g. 6, 00306 Palanga, Lietuva",du-malunai
Paršelio rojus,Šventoji,Restoranas,+370 460 45307,info@meniu.lt [gen],https://www.meniu.lt/vieta/parselio-rojus,"Kopų g. 5, 00308 Palanga, Lietuva",parselio-rojus
Prieš vėją,Šventoji,Restoranas,+370 667 61705,info@instagram.com [gen],https://www.instagram.com/pries_veja/,"Jūros g. 38, 00333 Palanga, Lietuva",pries-veja
Floros Simfonija,Šventoji,Restoranas,+370 686 41400,info@florossimfonija.lt,http://www.florossimfonija.lt/,"Jūros g. 30a, 00334 Palanga, Lietuva",floros-simfonija
Lagūna,Šventoji,Restoranas,+370 676 47693,labas@laguna.lt,http://www.laguna.lt/,"Prieplaukos g. 18, 00305 Palanga, Lietuva",laguna
Mažoji Armėnija,Šventoji,Restoranas,+370 679 41051,,,"Liepojos pl. 27, 00300 Palanga, Lietuva",mazoji-armenija
Volunge,Šventoji,Restoranas,+370 676 08444,,,"Jūros g. 13, 00314 Palanga, Lietuva",volunge
Po Liepa,Šventoji,Restoranas,+370 460 45450,,,"Šventosios g. 2, 00306 Palanga, Lietuva",po-liepa
Auksinės kopos,Šventoji,Restoranas,+370 620 64621,info@akopos.lt,http://www.akopos.lt/,"Jūros g. 30, 92125 Palanga, Lietuva",auksines-kopos
Du malūnai,Šventoji,Kavinė,+370 655 28180,,,"Šventosios g. 6, 00306 Palanga, Lietuva",du-malunai
Po Liepa,Šventoji,Kavinė,+370 460 45450,,,"Šventosios g. 2, 00306 Palanga, Lietuva",po-liepa
Volunge,Šventoji,Kavinė,+370 676 08444,,,"Jūros g. 13, 00314 Palanga, Lietuva",volunge
Mažoji Armėnija,Šventoji,Kavinė,+370 679 41051,,,"Liepojos pl. 27, 00300 Palanga, Lietuva",mazoji-armenija
Floros Simfonija,Šventoji,Kavinė,+370 663 53333,info@florossimfonija.lt [gen],https://www.florossimfonija.lt/restoranas-floros-simfonija-topoliu-22-sventoji?lng=en,"Topolių g. 22a, 00317 Palanga, Lietuva",floros-simfonija
Vikingas,Šventoji,Kavinė,+370 460 45666,info@smuklevikingas.lt [gen],http://www.smuklevikingas.lt/,"Kopų g. 6, 00308 Šventoji, Lietuva",vikingas
Restoranas „grás“,Palanga,Restoranas,+370 665 90301,info@restoranasgras.lt,https://www.restoranasgras.lt/,"Kęstučio g. 32, 00135 Palanga, Lietuva",restoranas-grs
A-petit,Palanga,Restoranas,+370 602 32586,,https://www.facebook.com/apetitpalanga/,"Plytų g. 7, 00195 Palanga, Lietuva",a-petit
Šilelis GastroPub,Palanga,Restoranas,+370 609 33601,,https://facebook.com/%C5%A0ilelis-GastroPub-634396466720350/,"Vytauto g. 112, 00134 Palanga, Lietuva",silelis-gastropub
Restoranas Palanga,Palanga,Restoranas,+370 460 41410,restaurant@palangahotel.lt,https://www.restoranaspalanga.lt/,"Birutės al. 60, 00136 Palanga, Lietuva",restoranas-palanga
Žuvinė,Palanga,Restoranas,+370 656 59647,palanga@zuvine.lt,https://zuvine.lt/,"J. Basanavičiaus g. 37A, 00135 Palanga, Lietuva",zuvine
Monist restaurant,Palanga,Restoranas,+370 600 10055,poilsis@monist.lt,https://www.monist.lt/restoranas,"Vytauto g. 88a, 00136 Palanga, Lietuva",monist-restaurant
Meat Steak House Palanga,Palanga,Restoranas,+370 612 06029,info@gabija.lt,http://www.gabija.lt/restoranas/,"Vytauto g. 40, 00131 Palanga, Lietuva",meat-steak-house-palanga
