name,city,type,phone,email,website,address,nickname
Credo,Šventoji,Grožio salonas,+370 635 89694,,,"Vytauto g. 94a-8, 00132 Palanga, Lietuva",credo-sventoji
"Smiltė, grožio salonas",Šventoji,Grožio salonas,+370 684 66583,,https://www.facebook.com/salonassmilte/,"Kretingos g. 14, 00132 Palanga, Lietuva",smilte-grozio-salonas-sventoji
Junona,Šventoji,Grožio salonas,+370 676 27622,,http://www.facebook.com/JUNONAPalanga,"Klaipėdos pl. 50 - 15, 00102 Palanga, Lietuva",junona-sventoji
Ka. studija,Šventoji,Grožio salonas,+370 641 96915,,,"Medvalakio g. 12-57, 00146 Palanga, Lietuva",ka-studija
Sakura,Šventoji,Grožio salonas,+370 605 42211,info@sakuragc.lt,http://www.sakuragc.lt/,"Ganyklų g. 6, 00127 Palanga, Lietuva",sakura-sventoji
Kolibris,Šventoji,Grožio salonas,,,https://www.facebook.com/JashPermanentMakeUp/,"Senojo Turgaus g. 6-6, 00133 Palanga, Lietuva",kolibris
Bučinys,Šventoji,Grožio salonas,+370 604 04638,,https://www.facebook.com/bucinyskirpykla/,"J. Piktuižio g. 21, 00195 Palanga, Lietuva",bucinys
Grožio salonas IRENA,Šventoji,Grožio salonas,+370 608 66076,,,"Ganyklų g. 18, 00126 Palanga, Lietuva",grozio-salonas-irena
Estetinės kosmetologijos specialistė Iveta Gabrienė,Šventoji,Grožio salonas,+370 689 36353,info@book.treatwell.lt [gen],https://book.treatwell.lt/salonas/estetines-kosmetologijos-specialiste-iveta-gabriene/,"Ganyklų g. 4, Palanga, 00127 Palangos m. sav., Lietuva",estetines-kosmetologijos-specialiste-iveta-gabriene
GROŽIO ERDVĖ PALANGA,Šventoji,Grožio salonas,+370 641 03216,,https://www.facebook.com/mkgrozioerdve,"Ganyklų g. 8, 00230 Palanga, Lietuva",grozio-erdve-palanga-sventoji
Automobilių aptarnavimo centras,Šventoji,Autoservisas,+370 460 48346,,https://www.facebook.com/AutoaptarnavimasPalanga/,"Pirties g. 4, 00126 Palanga, Lietuva",automobiliu-aptarnavimo-centras-sventoji
L. Tonkūno įm.,Šventoji,Autoservisas,+370 460 57326,info@rekvizitai.vz.lt [gen],https://rekvizitai.vz.lt/imone/l_tonkuno_personaline_imone/,"L. Vaineikio g. 43, 00156 Palanga, Lietuva",l-tonkuno-im-sventoji
Autoremontas Malūno gatvėje,Šventoji,Autoservisas,+370 612 57887,info@saulesspektras.lt,https://www.auto.lt/imones/Automobili%C5%B3-va%C5%BEiuokl%C4%97s-remontas-Palangoje/2408826,"Malūno g. 6A, 00126 Palanga, Lietuva",autoremontas-maluno-gatveje
Autoservisas,Šventoji,Autoservisas,+370 624 12606,,,"Valteriškės g. 6, 00103 Palanga, Lietuva",autoservisas-sventoji
Padangų autoservisas,Šventoji,Autoservisas,+370 677 78999,info@saulesspektras.lt,https://www.info.lt/?page=imones&view=imone&id=2409552,"Malūno g. 4, 00126 Palanga, Lietuva",padangu-autoservisas-sventoji
Klotingas,Šventoji,Autoservisas,+370 460 51933,info@118.lt [gen],https://www.118.lt/imones/klotingas-uab-padangu-servisas/7319045,"Malūno g. 3B, 00126 Palanga, Lietuva",klotingas-sventoji
H. Sakalausko įmonė,Šventoji,Autoservisas,+370 606 05006,info@rekvizitai.vz.lt [gen],https://rekvizitai.vz.lt/imone/h_sakalausko_imone/,"Malūno g. 3a, 00126 Palanga, Lietuva",h-sakalausko-imone-sventoji
Elegancija,Šventoji,Kirpykla,+370 608 79480,rolandagedgaudiene@gmail.com,https://www.1551.lt/elegancija-kirpykla-vyru-moteru-vaiku-kirpimas-palangoje-99363/,"Virbališkės tak. 3, 00132 Palanga, Lietuva",elegancija-sventoji
Sakura,Palanga,Grožio salonas,+370 605 42211,info@sakuragc.lt,http://www.sakuragc.lt/,"Ganyklų g. 6, 00127 Palanga, Lietuva",sakura
Svetlana,Palanga,Grožio salonas,+370 678 29950,,,"Vytauto g. 106, 00133 Palanga, Lietuva",svetlana
Credo,Palanga,Grožio salonas,+370 635 89694,,,"Vytauto g. 94a-8, 00132 Palanga, Lietuva",credo
CUTi CUTi,Palanga,Grožio salonas,+370 686 93879,,,"Ganyklų g. 8, 00126 Palanga, Lietuva",cuti-cuti
Studio5,Palanga,Grožio salonas,+370 664 18828,,,"Ronžės g. 5b, 00195 Palanga, Lietuva",studio5
"Smiltė, grožio salonas",Palanga,Grožio salonas,+370 684 66583,,https://www.facebook.com/salonassmilte/,"Kretingos g. 14, 00132 Palanga, Lietuva",smilte-grozio-salonas
Karamelė MK grožio namai,Palanga,Grožio salonas,+370 600 89950,,,"Ganyklų g. 8, 00134 Palanga, Lietuva",karamele-mk-grozio-namai
GROŽIO ERDVĖ PALANGA,Palanga,Grožio salonas,+370 641 03216,,https://www.facebook.com/mkgrozioerdve,"Ganyklų g. 8, 00230 Palanga, Lietuva",grozio-erdve-palanga
Kirpėja Palanga,Palanga,Grožio salonas,+370 646 69711,info@sites.google.com [gen],https://sites.google.com/view/kirpeja-palanga,"Kretingos g. 14, 00132 Palanga, Lietuva",kirpeja-palanga
Dali Studio,Palanga,Grožio salonas,+370 614 80888,info@dalistudio.lt [gen],http://www.dalistudio.lt/,"Pirties g. 5, 00230 Palanga, Lietuva",dali-studio
L. Tonkūno įm.,Palanga,Autoservisas,+370 460 57326,info@rekvizitai.vz.lt [gen],https://rekvizitai.vz.lt/imone/l_tonkuno_personaline_imone/,"L. Vaineikio g. 43, 00156 Palanga, Lietuva",l-tonkuno-im
Automobilių aptarnavimo centras,Palanga,Autoservisas,+370 460 48346,,https://www.facebook.com/AutoaptarnavimasPalanga/,"Pirties g. 4, 00126 Palanga, Lietuva",automobiliu-aptarnavimo-centras
Padangų autoservisas,Palanga,Autoservisas,+370 677 78999,info@saulesspektras.lt,https://www.info.lt/?page=imones&view=imone&id=2409552,"Malūno g. 4, 00126 Palanga, Lietuva",padangu-autoservisas
Autoservisas,Palanga,Autoservisas,+370 624 12606,,,"Valteriškės g. 6, 00103 Palanga, Lietuva",autoservisas
PADANGŲ MONTAVIMAS PALANGA - PALANGOS PADANGOS,Palanga,Autoservisas,+370 605 25625,info@saulesspektras.lt,https://www.auto.lt/imones/Palangos-padangos-MB-Rubesta-LT/2489480,"Malūno g. 1, 00126 Palanga, Lietuva",padangu-montavimas-palanga-palangos-padangos
H. Sakalausko įmonė,Palanga,Autoservisas,+370 606 05006,info@rekvizitai.vz.lt [gen],https://rekvizitai.vz.lt/imone/h_sakalausko_imone/,"Malūno g. 3a, 00126 Palanga, Lietuva",h-sakalausko-imone
D. Krylovo įmonė,Palanga,Autoservisas,+370 600 08359,,,"Klaipėdos pl. 57, 00126 Palanga, Lietuva",d-krylovo-imone
Nkg transport,Palanga,Autoservisas,+370 688 48080,info@diagnostika.lt [gen],http://diagnostika.lt/,"Senojo Turgaus g. 21, 00127 Palanga, Lietuva",nkg-transport
Klotingas,Palanga,Autoservisas,+370 460 51933,info@118.lt [gen],https://www.118.lt/imones/klotingas-uab-padangu-servisas/7319045,"Malūno g. 3B, 00126 Palanga, Lietuva",klotingas
Palanga 2Auto,Palanga,Autoservisas,+370 676 42709,,,"Miško tak. 7, Palanga, 00321 Palangos m. sav., Lietuva",palanga-2auto
Elegancija,Palanga,Kirpykla,+370 608 79480,rolandagedgaudiene@gmail.com,https://www.1551.lt/elegancija-kirpykla-vyru-moteru-vaiku-kirpimas-palangoje-99363/,"Virbališkės tak. 3, 00132 Palanga, Lietuva",elegancija
Svetlana,Palanga,Kirpykla,+370 678 29950,,,"Vytauto g. 106, 00133 Palanga, Lietuva",svetlana
Kirpykla,Palanga,Kirpykla,+370 676 01562,,,"Ganyklų g. 33, 00126 Palanga, Lietuva",kirpykla
Junona,Palanga,Kirpykla,+370 676 27622,,http://www.facebook.com/JUNONAPalanga,"Klaipėdos pl. 50 - 15, 00102 Palanga, Lietuva",junona
Grožio studija | Kirpėja,Palanga,Kirpykla,+370 601 57063,,,"Senojo Turgaus g. 15, 00132 Palanga, Lietuva",grozio-studija-kirpeja
Kirpėja Jurgita Ado,Palanga,Kirpykla,+370 648 02393,,http://facebook.com/Jurado,"J. Piktuižio g. 21, 00195 Palanga, Lietuva",kirpeja-jurgita-ado
Credo,Palanga,Kirpykla,+370 635 89694,,,"Vytauto g. 94a-8, 00132 Palanga, Lietuva",credo
A&D grožio studija,Kretinga,Grožio salonas,+370 604 12074,,,"Akmenės g. 1, 97150 Kretinga, Lietuva",ad-grozio-studija
ESTETIKOS IR GROŽIO STUDIJA KRETINGA,Kretinga,Grožio salonas,+370 630 71986,,,"3A, F. Janušio g. 1, Kretinga, 97140 Kretingos r. sav., Lietuva",estetikos-ir-grozio-studija-kretinga
"Salonas ,,Grožio Paslaugos"" Kretingoje",Kretinga,Grožio salonas,,,,"Klaipėdos g. 10, 97124 Kretinga, Lietuva",salonas-grozio-paslaugos-kretingoje
"Aušrinės studija – grožio salonas, kirpykla, masažo paslaugos Kretingoje",Kretinga,Grožio salonas,+370 671 70899,info@ausrinesstudija.lt [gen],http://www.ausrinesstudija.lt/kontaktai/,"Savanorių g. 60, Kretinga, 97114 Kretingos r. sav., Lietuva",ausrines-studija-grozio-salonas-kirpykla-masazo-paslaugos-kr
Grožio dirbtuvės,Kretinga,Grožio salonas,+370 663 32630,,,"Sodų g. 1A, 97157 Kretinga, Lietuva",grozio-dirbtuves
DALIOS Salonas,Kretinga,Grožio salonas,+370 445 53496,,https://www.facebook.com/kirpykladalia?locale=lt_LT,"Savanorių g. 54, Kretinga, 97113 Kretingos r. sav., Lietuva",dalios-salonas
LIŽU GROŽIO STUDIJA,Kretinga,Grožio salonas,+370 613 62676,,,"Rotušės a. 11, 97140 Kretinga, Lietuva",lizu-grozio-studija
FEMME. Grožio studija,Kretinga,Grožio salonas,+370 676 57332,,https://www.facebook.com/p/FEMMEGro%C5%BEio-studija-100063568239689/,"Trumpoji g. 4, Kretinga, 97131 Kretingos r. sav., Lietuva",femme-grozio-studija
Grožio salonas,Kretinga,Grožio salonas,,,,"Rotušės a., 97195 Kretinga, Lietuva",grozio-salonas
EOS studija,Kretinga,Grožio salonas,+370 605 92448,,,"Malūno g. 1, 97155 Kretinga, Lietuva",eos-studija
"Autoservisas “SMAGRATIS” Žemaitės al. 31, Kretinga",Kretinga,Autoservisas,+370 614 83801,info@kretingos-smagratis.lt,https://servisas.kretingos-smagratis.lt/,"Žemaitės al. 31, Kretinga, 97106 Kretingos r. sav., Lietuva",autoservisas-smagratis-zemaites-al-31-kretinga
Autoservisas,Kretinga,Autoservisas,+370 670 22682,,,"Minijos g. 2, 97135 Kretinga, Lietuva",autoservisas-kretinga
Dariaus ratai,Kretinga,Autoservisas,+370 604 04353,,,"Klaipėdos g. 127M, 97156 Kretinga, Lietuva",dariaus-ratai
Bosch Car Service - Kretingos Smagratis,Kretinga,Autoservisas,+370 670 70100,autoservisas@smagratis.lt,https://bosch.kretingos-smagratis.lt/,"Vytauto g. 120, 97133 Kretinga, Lietuva",bosch-car-service-kretingos-smagratis
SMAGRATIS - Sunkvežimių Servisas Kretingoje,Kretinga,Autoservisas,+370 686 57221,juozas@smagratis.lt,https://bosch.kretingos-smagratis.lt/sunkvezimiu-remontas/,"Vytauto g. 120, 97133 Kretinga, Lietuva",smagratis-sunkvezimiu-servisas-kretingoje
Motointegrator,Kretinga,Autoservisas,,sekretariat@intercars.eu,https://motointegrator.com/lt/lt/,"Titnago g. 6, 02300 Vilnius, Lietuva",motointegrator
Autoratas autodetalių parduotuvė,Kretinga,Autoservisas,+370 620 38300,servisas@autoratas.lt,http://www.autoratas.lt/,"Tiekėjų g. 7A, 97123 Kretinga, Lietuva",autoratas-autodetaliu-parduotuve
R. Rapalio remonto įmonė,Kretinga,Autoservisas,+370 445 54703,,,"J. Basanavičiaus g. 90, Kretinga, 97101 Kretingos r. sav., Lietuva",r-rapalio-remonto-imone
"Brikas, R. Bagušienės firma",Kretinga,Autoservisas,+370 600 25091,,,"Tiekėjų g. 15, 97187 Kretinga, Lietuva",brikas-r-bagusienes-firma
Automobilių Diagnostikos Centras,Kretinga,Autoservisas,+370 677 67601,info@autotechas.lt,https://autotechas.lt/,"Žemaitės al. 41, Kretinga, 97106 Kretingos r. sav., Lietuva",automobiliu-diagnostikos-centras
LIŽU GROŽIO STUDIJA,Kretinga,Kirpykla,+370 613 62676,,,"Rotušės a. 11, 97140 Kretinga, Lietuva",lizu-grozio-studija
EOS studija,Kretinga,Kirpykla,+370 605 92448,,,"Malūno g. 1, 97155 Kretinga, Lietuva",eos-studija
Grožio salonas,Kretinga,Kirpykla,,,,"Rotušės a., 97195 Kretinga, Lietuva",grozio-salonas
"Garbana, kirpykla",Kretinga,Kirpykla,+370 445 52575,,,"Rotušės a. 1, 97140 Kretinga, Lietuva",garbana-kirpykla
Smėlinė Svaja,Kretinga,Kirpykla,+370 647 14234,,https://www.facebook.com/kirpyklasvaja/,"Ajerų 4, Kretingsodis, s/b Akmena, 97152 Kretinga, Lietuva",smeline-svaja
"Salonas ,,Grožio Paslaugos"" Kretingoje",Kretinga,Kirpykla,,,,"Klaipėdos g. 10, 97124 Kretinga, Lietuva",salonas-grozio-paslaugos-kretingoje
A&D grožio studija,Kretinga,Kirpykla,+370 604 12074,,,"Akmenės g. 1, 97150 Kretinga, Lietuva",ad-grozio-studija
"Šunų Kirpykla ""Odri""",Kretinga,Kirpykla,+370 677 04937,,,"Šventosios g. 1A, 97124 Kretinga, Lietuva",sunu-kirpykla-odri
Die Fabrik,Klaipėda,Grožio salonas,+370 683 40058,info@treatwell.lt [gen],https://www.treatwell.lt/salonas/grozio-namai-die-fabrik/,"S. Nėries g. 20, 92228 Klaipėda, Lietuva",die-fabrik
"Grožio salonas ""Amber studija""",Klaipėda,Grožio salonas,+370 699 06506,ingridaamber@gmail.com,http://www.amberstudija.lt/,"J. Janonio g. 4-2, 92252 Klaipėda, Lietuva",grozio-salonas-amber-studija
Ladies' Spot moterų grožio studija Klaipėdoje,Klaipėda,Grožio salonas,+370 676 38886,info@ladiesspot.lt,http://ladiesspot.lt/,"Turgaus g. 31, 91243 Klaipėda, Lietuva",ladies-spot-moteru-grozio-studija-klaipedoje
Aidos studija,Klaipėda,Grožio salonas,+370 655 75755,info@aidosstudija.lt,https://www.aidosstudija.lt/,"Tiltų g. 24, 91246 Klaipėda, Lietuva",aidos-studija
ZiZi,Klaipėda,Grožio salonas,+370 614 26985,,https://www.facebook.com/146575675510896/,"Turgaus g. 13 Įėjimas iš, Jono g., 91247 Klaipėda, Lietuva",zizi
iD Grožio Studija,Klaipėda,Grožio salonas,+370 633 45455,info@idgroziostudija.lt [gen],https://idgroziostudija.lt/,"Turgaus g. 37, 91249 Klaipėda, Lietuva",id-grozio-studija
Queen,Klaipėda,Grožio salonas,+370 644 91552,,http://www.facebook.com/queengrozionamai,"M. Mažvydo al. 6, 92134 Klaipėda, Lietuva",queen
"Brigita, grožio salonas",Klaipėda,Grožio salonas,+370 46 341400,info@salonasbrigita.lt,http://www.salonasbrigita.lt/,"Minijos g. 138, 93259 Klaipėda, Lietuva",brigita-grozio-salonas
Victoria Grožio namai,Klaipėda,Grožio salonas,+370 608 15657,,https://www.facebook.com/victoriagrozionamai/,"H. Manto g. 8, 92134 Klaipėda, Lietuva",victoria-grozio-namai
Daivos Butkuvienės grožio namai,Klaipėda,Grožio salonas,+370 610 88555,info@dbgrozionamai.lt [gen],http://www.dbgrozionamai.lt/,"Šaulių g. 40-1, 92231 Klaipėda, Lietuva",daivos-butkuvienes-grozio-namai
Stoties autoservisas / Car repair service,Klaipėda,Autoservisas,+370 689 14839,info@stotiesautoservisas.lt,http://www.stotiesautoservisas.lt/,"Priestočio g. 1, 92228 Klaipėda, Lietuva",stoties-autoservisas-car-repair-service
Motorela - Autoservisas Klaipėda - Automobilių Remontas Klaipėdoje,Klaipėda,Autoservisas,+370 699 46697,info@motorela.lt,https://motorela.lt/,"Sandėlių g. 40, 95107 Klaipėda, Lietuva",motorela-autoservisas-klaipeda-automobiliu-remontas-klaipedo
Autoavilys - autoservisas Klaipėdoje,Klaipėda,Autoservisas,+370 680 77787,info@autoavilys.lt,http://www.autoavilys.lt/,"Svajonės g. 38, 94101 Klaipėda, Lietuva",autoavilys-autoservisas-klaipedoje
Auto gelbėtojai,Klaipėda,Autoservisas,+370 610 00004,info@autogelbetojai.lt [gen],http://www.autogelbetojai.lt/,"Lypkių g. 2, Klaipėda, 94107 Klaipėdos r. sav., Lietuva",auto-gelbetojai
"Autobolidas, autoservisas",Klaipėda,Autoservisas,+370 627 10166,info@autobolidas.lt [gen],http://www.autobolidas.lt/,"Dubysos g. 29A, 91181 Klaipėda, Lietuva",autobolidas-autoservisas
Autovelna,Klaipėda,Autoservisas,+370 678 77750,auto@velna.lt,http://www.autovelna.lt/,"Birutės g. 8, 94101 Klaipėda, Lietuva",autovelna
"AUTOEFKA - Automobilių remontas, padangų montavimas",Klaipėda,Autoservisas,+370 693 38000,info@autoefka.lt [gen],http://www.autoefka.lt/,"Šilutės pl. 43, 94105 Klaipėda, Lietuva",autoefka-automobiliu-remontas-padangu-montavimas
Vitės servisas,Klaipėda,Autoservisas,+370 688 88520,,https://www.facebook.com/Vitesservisas,"Agluonos g. 27, 91212 Klaipėda, Lietuva",vites-servisas
Autoservisas,Klaipėda,Autoservisas,+370 683 55030,info@saulesspektras.lt,https://www.auto.lt/imones/Autorema/2421566,"Dubysos g. 62, 93225 Klaipėda, Lietuva",autoservisas-klaipeda
Megapro Autoservisas,Klaipėda,Autoservisas,+370 653 59999,,https://www.facebook.com/MEGAPRO-autoservisas-131649914092867/,"Švyturio g. 20, 92271 Klaipėda, Lietuva",megapro-autoservisas
"Ingrė, kirpykla",Klaipėda,Kirpykla,+370 636 70000,brigita.raude@gmail.com,https://grozio-salonas-ingre.mytreatwell.lt/,"Žardininkų g. 23, Klaipėda, 94235 Klaipėdos m. sav., Lietuva",ingre-kirpykla
Kirpykla,Klaipėda,Kirpykla,+370 46 210323,,,"Klaipėdos m. sav., Klaipėda, Taikos pr. 35B, 91148 Klaipėda, Lietuva",kirpykla-klaipeda
Perlina,Klaipėda,Kirpykla,+370 46 229932,,https://www.facebook.com/profile.php?id=61560414933592,"Kuncų g. 11, 95207 Klaipėda, Lietuva",perlina
Kirpykla 35,Klaipėda,Kirpykla,+370 46 233449,,,"Debreceno g. 35, 94166 Klaipėda, Lietuva",kirpykla-35
Lusca Barbershop,Klaipėda,Kirpykla,+370 647 23928,info@lusca.lt [gen],http://lusca.lt/,"Baltijos pr. 26f, 93222 Klaipėda, Lietuva",lusca-barbershop
Men's Spot vyrų grožio studija Klaipėdoje,Klaipėda,Kirpykla,+370 671 88815,info@mensspot.lt,https://mensspot.lt/,"Tomo g. 13-2, 91249 Klaipėda, Lietuva",mens-spot-vyru-grozio-studija-klaipedoje
"Kirpykla ""Janonio 12""",Klaipėda,Kirpykla,+370 46 212155,,,"J. Janonio g. 12, 92252 Klaipėda, Lietuva",kirpykla-janonio-12
Grožio namai NIDA,Nida,Grožio salonas,+370 650 55185,info@treatwell.lt [gen],https://www.treatwell.lt/salonas/grozio-namai-nida/,"Nidos g. 1, 06258 Vilnius, Lietuva",grozio-namai-nida
Pagalba kelyje Neringoje,Nida,Autoservisas,+370 652 93470,,,"Purvynės g. 28, Neringa, 93121 Neringos sav., Lietuva",pagalba-kelyje-neringoje
Proservisai - Autoservisas Vilniuje (Šeškinė),Nida,Autoservisas,+370 683 24223,info@proservisai.lt [gen],https://proservisai.lt/varikliu+remontas,"Ozo g. 20, 07151 Vilnius, Lietuva",proservisai-autoservisas-vilniuje-seskine
Bosch Car Service - Autodina,Nida,Autoservisas,+370 618 28925,info@autodina.lt,https://www.autodina.lt/,"Laisvės pr. 43b, 05112 Vilnius, Lietuva",bosch-car-service-autodina
Barzdaskučiai,Nida,Kirpykla,+370 626 76254,info@barzdaskuciai.lt [gen],https://www.barzdaskuciai.lt/,"Taikos g. 32A, 93123 Nida, Lietuva",barzdaskuciai
Kograro,Nida,Kirpykla,+370 699 26906,,https://www.facebook.com/kograro/,"Nidos g. 1-82, 06258 Vilnius, Lietuva",kograro
Deivė,Nida,Kirpykla,+370 607 03212,,,"M. Mažvydo g. 9, 06256 Vilnius, Lietuva",deive
Wow Grožio Studija,Nida,Kirpykla,+370 671 67136,info@wowstudija.lt,http://wowstudija.lt/,"Priegliaus g. 5, 06269 Vilnius, Lietuva",wow-grozio-studija
Neringa,Neringa,Grožio salonas,+370 601 28187,,https://www.facebook.com/PermanentasFibroblast,"A. Juozapavičiaus g. 9A, 09311 Vilnius, Lietuva",neringa
Nails & Brows by Neringa,Neringa,Grožio salonas,+370 647 58012,,,"Gedvydžių g. 24, 06331 Vilnius, Lietuva",nails-brows-by-neringa
Blanco Beauty,Neringa,Grožio salonas,+370 623 20232,,,"Pamėnkalnio g. 5, 01116 Vilnius, Lietuva",blanco-beauty
Pagalba kelyje Neringoje,Neringa,Autoservisas,+370 652 93470,,,"Purvynės g. 28, Neringa, 93121 Neringos sav., Lietuva",pagalba-kelyje-neringoje-neringa
Motointegrator,Neringa,Autoservisas,,sekretariat@intercars.eu,https://motointegrator.com/lt/lt/,"Titnago g. 6, 02300 Vilnius, Lietuva",motointegrator-neringa
Škoda - ARX AUTO,Neringa,Autoservisas,+370 5 275 1987,automobiliai@arxauto.lt,http://www.arxauto.lt/,"Geležinio Vilko g. 53, 08217 Vilnius, Lietuva",skoda-arx-auto
"UAB ""Autofortas"" autoservisas-automobilių kėbulų remontas",Neringa,Autoservisas,+370 37 758650,info@autofortas.lt,http://www.autofortas.com/kontaktai,"9-ojo Forto g. 63, 48101 Kaunas, Lietuva",uab-autofortas-autoservisas-automobiliu-kebulu-remontas
